"station"	"group"	"n"
"305"	"15"	"Gel_carn"	7
"306"	"16"	"Gel_carn"	21
"307"	"17"	"Gel_carn"	23
"308"	"18"	"Gel_carn"	30
"309"	"20"	"Gel_carn"	3
"310"	"21"	"Gel_carn"	19
"311"	"22"	"Gel_carn"	12
"312"	"23"	"Gel_carn"	13
"313"	"24"	"Gel_carn"	21
"314"	"25"	"Gel_carn"	30
"315"	"26"	"Gel_carn"	15
"316"	"30"	"Gel_carn"	25
"317"	"31"	"Gel_carn"	17
"318"	"32"	"Gel_carn"	19
"319"	"33"	"Gel_carn"	8
"320"	"34"	"Gel_carn"	12
"321"	"36"	"Gel_carn"	14
"322"	"38"	"Gel_carn"	12
"323"	"39"	"Gel_carn"	26
"324"	"40"	"Gel_carn"	4
"325"	"41"	"Gel_carn"	18
"326"	"42"	"Gel_carn"	19
"327"	"43"	"Gel_carn"	0
"328"	"44"	"Gel_carn"	14
"329"	"45"	"Gel_carn"	31
"330"	"46"	"Gel_carn"	20
"331"	"51"	"Gel_carn"	23
"332"	"52"	"Gel_carn"	31
"333"	"53"	"Gel_carn"	36
"334"	"58"	"Gel_carn"	22
"335"	"64"	"Gel_carn"	41
"336"	"65"	"Gel_carn"	33
"337"	"66"	"Gel_carn"	23
"338"	"67"	"Gel_carn"	1
"339"	"68"	"Gel_carn"	39
"340"	"70"	"Gel_carn"	33
"341"	"71"	"Gel_carn"	9
"342"	"72"	"Gel_carn"	42
"343"	"73"	"Gel_carn"	7
"344"	"74"	"Gel_carn"	28
"345"	"75"	"Gel_carn"	33
"346"	"76"	"Gel_carn"	112
"347"	"77"	"Gel_carn"	39
"348"	"78"	"Gel_carn"	18
"349"	"79"	"Gel_carn"	91
"350"	"80"	"Gel_carn"	43
"351"	"81"	"Gel_carn"	2
"352"	"82"	"Gel_carn"	2
"353"	"83"	"Gel_carn"	0
"354"	"84"	"Gel_carn"	3
"355"	"85"	"Gel_carn"	0
"356"	"86"	"Gel_carn"	2
"357"	"87"	"Gel_carn"	1
"358"	"89"	"Gel_carn"	0
"359"	"90"	"Gel_carn"	47
"360"	"91"	"Gel_carn"	20
"361"	"92"	"Gel_carn"	16
"362"	"94"	"Gel_carn"	22
"363"	"95"	"Gel_carn"	28
"364"	"96"	"Gel_carn"	20
"365"	"97"	"Gel_carn"	15
"366"	"98"	"Gel_carn"	34
"367"	"99"	"Gel_carn"	33
"368"	"100"	"Gel_carn"	11
"369"	"102"	"Gel_carn"	4
"370"	"106"	"Gel_carn"	3
"371"	"109"	"Gel_carn"	18
"372"	"110"	"Gel_carn"	1
"373"	"111"	"Gel_carn"	14
"374"	"112"	"Gel_carn"	7
"375"	"113"	"Gel_carn"	3
"376"	"122"	"Gel_carn"	1
"377"	"123"	"Gel_carn"	4
"378"	"125"	"Gel_carn"	2
"379"	"126"	"Gel_carn"	11
"380"	"128"	"Gel_carn"	1
"381"	"129"	"Gel_carn"	18
"382"	"130"	"Gel_carn"	5
"383"	"131"	"Gel_carn"	20
"384"	"132"	"Gel_carn"	41
"385"	"133"	"Gel_carn"	3
"386"	"134"	"Gel_carn"	12
"387"	"135"	"Gel_carn"	104
"388"	"136"	"Gel_carn"	5
"389"	"137"	"Gel_carn"	0
"390"	"138"	"Gel_carn"	6
"391"	"139"	"Gel_carn"	6
"392"	"140"	"Gel_carn"	21
"393"	"141"	"Gel_carn"	7
"394"	"142"	"Gel_carn"	15
"395"	"143"	"Gel_carn"	4
"396"	"144"	"Gel_carn"	30
"397"	"145"	"Gel_carn"	13
"398"	"147"	"Gel_carn"	91
"399"	"148"	"Gel_carn"	54
"400"	"149"	"Gel_carn"	11
"401"	"150"	"Gel_carn"	8
"402"	"151"	"Gel_carn"	19
"403"	"152"	"Gel_carn"	0
"404"	"153"	"Gel_carn"	1
"405"	"155"	"Gel_carn"	195
"406"	"157"	"Gel_carn"	3
"407"	"158"	"Gel_carn"	19
"408"	"159"	"Gel_carn"	10
"409"	"160"	"Gel_carn"	4
"410"	"161"	"Gel_carn"	0
"411"	"162"	"Gel_carn"	0
"412"	"163"	"Gel_carn"	0
"413"	"167"	"Gel_carn"	23
"414"	"168"	"Gel_carn"	50
"415"	"169"	"Gel_carn"	29
"416"	"170"	"Gel_carn"	3
"417"	"171"	"Gel_carn"	10
"418"	"172"	"Gel_carn"	2
"419"	"173"	"Gel_carn"	4
"420"	"174"	"Gel_carn"	1
"421"	"175"	"Gel_carn"	15
"422"	"176"	"Gel_carn"	2
"423"	"177"	"Gel_carn"	7
"424"	"178"	"Gel_carn"	8
"425"	"179"	"Gel_carn"	133
"426"	"180"	"Gel_carn"	23
"427"	"181"	"Gel_carn"	12
"428"	"182"	"Gel_carn"	55
"429"	"183"	"Gel_carn"	4
"430"	"184"	"Gel_carn"	1
"431"	"185"	"Gel_carn"	1
"432"	"186"	"Gel_carn"	0
"433"	"187"	"Gel_carn"	4
"434"	"188"	"Gel_carn"	4
"435"	"189"	"Gel_carn"	2
"436"	"190"	"Gel_carn"	19
"437"	"191"	"Gel_carn"	8
"438"	"192"	"Gel_carn"	11
"439"	"193"	"Gel_carn"	3
"440"	"194"	"Gel_carn"	17
"441"	"195"	"Gel_carn"	1
"442"	"196"	"Gel_carn"	9
"443"	"197"	"Gel_carn"	17
"444"	"198"	"Gel_carn"	43
"445"	"199"	"Gel_carn"	20
"446"	"200"	"Gel_carn"	14
"447"	"201"	"Gel_carn"	18
"448"	"202"	"Gel_carn"	5
"449"	"203"	"Gel_carn"	81
"450"	"204"	"Gel_carn"	36
"451"	"205"	"Gel_carn"	112
"452"	"206"	"Gel_carn"	98
"453"	"207"	"Gel_carn"	3
"454"	"208"	"Gel_carn"	9
"455"	"209"	"Gel_carn"	1
"456"	"210"	"Gel_carn"	4
"457"	"15"	"Gel_FF"	59
"458"	"16"	"Gel_FF"	16
"459"	"17"	"Gel_FF"	69
"460"	"18"	"Gel_FF"	53
"461"	"20"	"Gel_FF"	16
"462"	"21"	"Gel_FF"	17
"463"	"22"	"Gel_FF"	51
"464"	"23"	"Gel_FF"	33
"465"	"24"	"Gel_FF"	46
"466"	"25"	"Gel_FF"	72
"467"	"26"	"Gel_FF"	37
"468"	"30"	"Gel_FF"	18
"469"	"31"	"Gel_FF"	55
"470"	"32"	"Gel_FF"	46
"471"	"33"	"Gel_FF"	79
"472"	"34"	"Gel_FF"	133
"473"	"36"	"Gel_FF"	43
"474"	"38"	"Gel_FF"	52
"475"	"39"	"Gel_FF"	75
"476"	"40"	"Gel_FF"	81
"477"	"41"	"Gel_FF"	76
"478"	"42"	"Gel_FF"	82
"479"	"43"	"Gel_FF"	23
"480"	"44"	"Gel_FF"	132
"481"	"45"	"Gel_FF"	65
"482"	"46"	"Gel_FF"	222
"483"	"51"	"Gel_FF"	26
"484"	"52"	"Gel_FF"	83
"485"	"53"	"Gel_FF"	106
"486"	"58"	"Gel_FF"	157
"487"	"64"	"Gel_FF"	44
"488"	"65"	"Gel_FF"	164
"489"	"66"	"Gel_FF"	21
"490"	"67"	"Gel_FF"	0
"491"	"68"	"Gel_FF"	125
"492"	"70"	"Gel_FF"	24
"493"	"71"	"Gel_FF"	72
"494"	"72"	"Gel_FF"	70
"495"	"73"	"Gel_FF"	23
"496"	"74"	"Gel_FF"	51
"497"	"75"	"Gel_FF"	17
"498"	"76"	"Gel_FF"	57
"499"	"77"	"Gel_FF"	63
"500"	"78"	"Gel_FF"	103
"501"	"79"	"Gel_FF"	80
"502"	"80"	"Gel_FF"	36
"503"	"81"	"Gel_FF"	4
"504"	"82"	"Gel_FF"	18
"505"	"83"	"Gel_FF"	28
"506"	"84"	"Gel_FF"	57
"507"	"85"	"Gel_FF"	7
"508"	"86"	"Gel_FF"	12
"509"	"87"	"Gel_FF"	21
"510"	"89"	"Gel_FF"	9
"511"	"90"	"Gel_FF"	32
"512"	"91"	"Gel_FF"	54
"513"	"92"	"Gel_FF"	64
"514"	"94"	"Gel_FF"	45
"515"	"95"	"Gel_FF"	26
"516"	"96"	"Gel_FF"	42
"517"	"97"	"Gel_FF"	9
"518"	"98"	"Gel_FF"	20
"519"	"99"	"Gel_FF"	23
"520"	"100"	"Gel_FF"	42
"521"	"102"	"Gel_FF"	87
"522"	"106"	"Gel_FF"	83
"523"	"109"	"Gel_FF"	85
"524"	"110"	"Gel_FF"	64
"525"	"111"	"Gel_FF"	60
"526"	"112"	"Gel_FF"	39
"527"	"113"	"Gel_FF"	31
"528"	"122"	"Gel_FF"	22
"529"	"123"	"Gel_FF"	62
"530"	"125"	"Gel_FF"	68
"531"	"126"	"Gel_FF"	59
"532"	"128"	"Gel_FF"	42
"533"	"129"	"Gel_FF"	59
"534"	"130"	"Gel_FF"	12
"535"	"131"	"Gel_FF"	20
"536"	"132"	"Gel_FF"	52
"537"	"133"	"Gel_FF"	209
"538"	"134"	"Gel_FF"	13
"539"	"135"	"Gel_FF"	21
"540"	"136"	"Gel_FF"	54
"541"	"137"	"Gel_FF"	22
"542"	"138"	"Gel_FF"	68
"543"	"139"	"Gel_FF"	9
"544"	"140"	"Gel_FF"	40
"545"	"141"	"Gel_FF"	47
"546"	"142"	"Gel_FF"	61
"547"	"143"	"Gel_FF"	47
"548"	"144"	"Gel_FF"	94
"549"	"145"	"Gel_FF"	13
"550"	"147"	"Gel_FF"	50
"551"	"148"	"Gel_FF"	226
"552"	"149"	"Gel_FF"	69
"553"	"150"	"Gel_FF"	34
"554"	"151"	"Gel_FF"	88
"555"	"152"	"Gel_FF"	10
"556"	"153"	"Gel_FF"	7
"557"	"155"	"Gel_FF"	382
"558"	"157"	"Gel_FF"	7
"559"	"158"	"Gel_FF"	63
"560"	"159"	"Gel_FF"	62
"561"	"160"	"Gel_FF"	42
"562"	"161"	"Gel_FF"	8
"563"	"162"	"Gel_FF"	1
"564"	"163"	"Gel_FF"	2
"565"	"167"	"Gel_FF"	5
"566"	"168"	"Gel_FF"	5
"567"	"169"	"Gel_FF"	12
"568"	"170"	"Gel_FF"	20
"569"	"171"	"Gel_FF"	489
"570"	"172"	"Gel_FF"	5
"571"	"173"	"Gel_FF"	27
"572"	"174"	"Gel_FF"	35
"573"	"175"	"Gel_FF"	119
"574"	"176"	"Gel_FF"	11
"575"	"177"	"Gel_FF"	36
"576"	"178"	"Gel_FF"	23
"577"	"179"	"Gel_FF"	5
"578"	"180"	"Gel_FF"	144
"579"	"181"	"Gel_FF"	18
"580"	"182"	"Gel_FF"	334
"581"	"183"	"Gel_FF"	8
"582"	"184"	"Gel_FF"	31
"583"	"185"	"Gel_FF"	4
"584"	"186"	"Gel_FF"	8
"585"	"187"	"Gel_FF"	29
"586"	"188"	"Gel_FF"	49
"587"	"189"	"Gel_FF"	16
"588"	"190"	"Gel_FF"	1
"589"	"191"	"Gel_FF"	0
"590"	"192"	"Gel_FF"	81
"591"	"193"	"Gel_FF"	37
"592"	"194"	"Gel_FF"	30
"593"	"195"	"Gel_FF"	38
"594"	"196"	"Gel_FF"	8
"595"	"197"	"Gel_FF"	11
"596"	"198"	"Gel_FF"	10
"597"	"199"	"Gel_FF"	3
"598"	"200"	"Gel_FF"	52
"599"	"201"	"Gel_FF"	80
"600"	"202"	"Gel_FF"	13
"601"	"203"	"Gel_FF"	26
"602"	"204"	"Gel_FF"	29
"603"	"205"	"Gel_FF"	107
"604"	"206"	"Gel_FF"	25
"605"	"207"	"Gel_FF"	188
"606"	"208"	"Gel_FF"	289
"607"	"209"	"Gel_FF"	17
"608"	"210"	"Gel_FF"	172
"609"	"15"	"Crustaceans"	12
"610"	"16"	"Crustaceans"	15
"611"	"17"	"Crustaceans"	14
"612"	"18"	"Crustaceans"	6
"613"	"20"	"Crustaceans"	7
"614"	"21"	"Crustaceans"	14
"615"	"22"	"Crustaceans"	14
"616"	"23"	"Crustaceans"	1
"617"	"24"	"Crustaceans"	8
"618"	"25"	"Crustaceans"	12
"619"	"26"	"Crustaceans"	15
"620"	"30"	"Crustaceans"	3
"621"	"31"	"Crustaceans"	5
"622"	"32"	"Crustaceans"	10
"623"	"33"	"Crustaceans"	8
"624"	"34"	"Crustaceans"	11
"625"	"36"	"Crustaceans"	12
"626"	"38"	"Crustaceans"	2
"627"	"39"	"Crustaceans"	8
"628"	"40"	"Crustaceans"	3
"629"	"41"	"Crustaceans"	3
"630"	"42"	"Crustaceans"	13
"631"	"43"	"Crustaceans"	1
"632"	"44"	"Crustaceans"	15
"633"	"45"	"Crustaceans"	35
"634"	"46"	"Crustaceans"	69
"635"	"51"	"Crustaceans"	53
"636"	"52"	"Crustaceans"	27
"637"	"53"	"Crustaceans"	9
"638"	"58"	"Crustaceans"	26
"639"	"64"	"Crustaceans"	37
"640"	"65"	"Crustaceans"	36
"641"	"66"	"Crustaceans"	23
"642"	"67"	"Crustaceans"	33
"643"	"68"	"Crustaceans"	11
"644"	"70"	"Crustaceans"	43
"645"	"71"	"Crustaceans"	35
"646"	"72"	"Crustaceans"	19
"647"	"73"	"Crustaceans"	19
"648"	"74"	"Crustaceans"	18
"649"	"75"	"Crustaceans"	16
"650"	"76"	"Crustaceans"	74
"651"	"77"	"Crustaceans"	10
"652"	"78"	"Crustaceans"	26
"653"	"79"	"Crustaceans"	43
"654"	"80"	"Crustaceans"	26
"655"	"81"	"Crustaceans"	123
"656"	"82"	"Crustaceans"	24
"657"	"83"	"Crustaceans"	3
"658"	"84"	"Crustaceans"	77
"659"	"85"	"Crustaceans"	6
"660"	"86"	"Crustaceans"	5
"661"	"87"	"Crustaceans"	219
"662"	"89"	"Crustaceans"	2
"663"	"90"	"Crustaceans"	16
"664"	"91"	"Crustaceans"	3
"665"	"92"	"Crustaceans"	0
"666"	"94"	"Crustaceans"	5
"667"	"95"	"Crustaceans"	15
"668"	"96"	"Crustaceans"	25
"669"	"97"	"Crustaceans"	12
"670"	"98"	"Crustaceans"	40
"671"	"99"	"Crustaceans"	24
"672"	"100"	"Crustaceans"	28
"673"	"102"	"Crustaceans"	11
"674"	"106"	"Crustaceans"	7
"675"	"109"	"Crustaceans"	17
"676"	"110"	"Crustaceans"	11
"677"	"111"	"Crustaceans"	28
"678"	"112"	"Crustaceans"	4
"679"	"113"	"Crustaceans"	10
"680"	"122"	"Crustaceans"	7
"681"	"123"	"Crustaceans"	5
"682"	"125"	"Crustaceans"	19
"683"	"126"	"Crustaceans"	44
"684"	"128"	"Crustaceans"	18
"685"	"129"	"Crustaceans"	117
"686"	"130"	"Crustaceans"	4
"687"	"131"	"Crustaceans"	10
"688"	"132"	"Crustaceans"	34
"689"	"133"	"Crustaceans"	17
"690"	"134"	"Crustaceans"	4
"691"	"135"	"Crustaceans"	11
"692"	"136"	"Crustaceans"	4
"693"	"137"	"Crustaceans"	1
"694"	"138"	"Crustaceans"	8
"695"	"139"	"Crustaceans"	4
"696"	"140"	"Crustaceans"	7
"697"	"141"	"Crustaceans"	11
"698"	"142"	"Crustaceans"	20
"699"	"143"	"Crustaceans"	14
"700"	"144"	"Crustaceans"	13
"701"	"145"	"Crustaceans"	7
"702"	"147"	"Crustaceans"	10
"703"	"148"	"Crustaceans"	29
"704"	"149"	"Crustaceans"	4
"705"	"150"	"Crustaceans"	5
"706"	"151"	"Crustaceans"	15
"707"	"152"	"Crustaceans"	9
"708"	"153"	"Crustaceans"	8
"709"	"155"	"Crustaceans"	28
"710"	"157"	"Crustaceans"	2
"711"	"158"	"Crustaceans"	23
"712"	"159"	"Crustaceans"	100
"713"	"160"	"Crustaceans"	50
"714"	"161"	"Crustaceans"	119
"715"	"162"	"Crustaceans"	1
"716"	"163"	"Crustaceans"	6
"717"	"167"	"Crustaceans"	2
"718"	"168"	"Crustaceans"	18
"719"	"169"	"Crustaceans"	15
"720"	"170"	"Crustaceans"	10
"721"	"171"	"Crustaceans"	81
"722"	"172"	"Crustaceans"	8
"723"	"173"	"Crustaceans"	21
"724"	"174"	"Crustaceans"	8
"725"	"175"	"Crustaceans"	10
"726"	"176"	"Crustaceans"	15
"727"	"177"	"Crustaceans"	7
"728"	"178"	"Crustaceans"	7
"729"	"179"	"Crustaceans"	1
"730"	"180"	"Crustaceans"	0
"731"	"181"	"Crustaceans"	0
"732"	"182"	"Crustaceans"	1
